Tinh;SV
Hà Nội;628981
Vinh Phúc;10650
Bắc Ninh;7727
Quản Ninh;4038
Hải Duong;11449
Hải Phòng;40989
Hưng Yên;13507
Thái Bình;8168
Nam Ðịnh;18112
Ninh Bình;1136
Tuyên Quang;2846
Thái Nguyên;47232
Bắc Giang;1192
Phú Thọ;7534
Sơn La;4488
Hoà Bình;
Thanh Hoá;10472
Nghệ An;33364
Hà Tinh;1399
Quảng Bình;1888
Quảng Trị;135
Thừa Thiên Huế;55382
Ðà Nẵng;99573
Quảng Nam;3164
Quảng Ngãi;3064
Bình Ðịnh;20294
Phú Yên;4275
Khánh Hoà;19688
Bình Thuận;2267
Kon Tum;1386
Ðăk Lắk;11766
Lâm Ðồng;17069
Bình Duong;24652
Ðồng Nai;22452
Bà Rịa - Vũng Tàu;4841
TP.Hồ Chí Minh;599782
Long An;2406
Tiền Giang;4782
Trà Vinh;20818
Vinh Long;15530
Ðồng Tháp;11804
An Giang;10203
Kiên Giang;4486
Cần Thơ;84717
Hậu Giang;4253
Bạc Liêu;1654
